-0.046,0.054,1.007,170.260,83.300,177.610,-0.078,9.581,-1.147
-0.054,0.042,1.007,170.260,83.300,177.610,-0.078,9.581,-1.147
-0.050,0.050,1.003,170.260,83.300,177.610,-0.039,9.581,-1.147
-0.042,0.058,0.996,170.230,83.290,177.580,-0.118,9.581,-1.108
-0.058,0.050,1.015,170.210,83.290,177.560,-0.078,9.620,-1.187
-0.046,0.046,1.007,170.190,83.290,177.540,-0.078,9.581,-1.147
-0.050,0.035,0.992,170.190,83.290,177.540,-0.118,9.620,-1.187
-0.042,0.085,1.023,170.250,83.290,177.590,-0.078,9.581,-1.079
-0.058,0.050,1.027,170.220,83.300,177.560,0.000,9.660,-0.961
-0.046,0.046,1.019,170.120,83.290,177.470,-0.157,9.660,-1.383
-0.050,0.062,1.011,170.090,83.290,177.440,-0.196,9.620,-1.422
-0.046,0.039,1.003,170.180,83.300,177.540,0.039,9.620,-1.040
-0.050,0.054,1.007,170.180,83.310,177.530,0.000,9.581,-1.079
-0.058,0.054,1.007,170.130,83.300,177.490,-0.118,9.581,-1.147
-0.039,0.054,1.023,170.110,83.300,177.460,-0.118,9.581,-1.147
-0.062,0.042,1.007,170.100,83.310,177.460,0.078,9.620,-1.147
-0.050,0.054,1.031,170.110,83.310,177.460,-0.039,9.591,-1.000
-0.042,0.046,1.000,170.120,83.310,177.480,-0.078,9.591,-1.187
-0.062,0.046,1.007,170.140,83.320,177.500,0.078,9.581,-1.108
-0.050,0.046,1.003,170.140,83.310,177.490,-0.078,9.581,-1.079
-0.046,0.042,1.003,170.150,83.310,177.510,0.000,9.581,-1.108
-0.050,0.054,1.007,170.150,83.310,177.500,0.039,9.581,-1.079
-0.046,0.046,1.015,170.140,83.300,177.490,-0.078,9.620,-1.147
-0.046,0.050,1.011,170.140,83.290,177.490,-0.039,9.620,-1.108
-0.058,0.050,1.007,170.150,83.290,177.500,0.000,9.581,-1.147
-0.042,0.046,1.011,170.150,83.290,177.500,-0.118,9.620,-1.108
-0.046,0.050,1.027,170.160,83.290,177.520,-0.039,9.620,-1.147
-0.058,0.050,1.003,170.140,83.280,177.500,-0.039,9.620,-1.187
-0.046,0.042,1.000,170.130,83.280,177.480,-0.118,9.581,-1.108
-0.046,0.054,1.007,170.140,83.280,177.490,-0.118,9.620,-1.108
-0.050,0.050,0.988,170.150,83.290,177.500,0.039,9.581,-1.147
-0.046,0.050,1.007,170.140,83.290,177.490,-0.078,9.591,-1.187
-0.046,0.050,1.003,170.150,83.300,177.500,-0.118,9.620,-1.147
-0.050,0.050,1.011,170.160,83.300,177.510,-0.118,9.620,-1.108
-0.046,0.050,1.015,170.150,83.290,177.500,-0.039,9.581,-1.147
