-0.304,0.726,9.918
-0.304,0.687,9.879
-0.304,0.647,9.879
-0.304,0.687,9.839
-0.383,0.687,9.879
-0.265,0.687,9.879
-0.304,0.726,9.918
-0.304,0.687,9.957
-0.343,0.647,9.879
-0.265,0.765,9.879
-0.383,0.647,9.879
-0.343,0.687,9.918
-0.265,0.687,9.918
-0.343,0.726,9.879
-0.343,0.687,9.879
-0.304,0.687,9.918
-0.383,0.726,9.879
-0.265,0.726,9.879
-0.304,0.687,9.839
-0.343,0.726,9.879
-0.343,0.687,9.918
-0.304,0.647,9.918
-0.343,0.726,9.918
-0.304,0.687,9.957
-0.383,0.687,9.879
-0.304,0.726,9.918
-1.413,-0.530,9.810
2.413,0.952,7.083
0.383,0.451,9.732
0.186,0.383,7.279
-1.834,1.295,10.300
-1.991,1.069,9.496
-2.639,1.609,9.771
-2.031,1.109,7.161
-3.522,1.030,10.075
-2.099,1.756,10.919
-4.934,1.030,8.545
-4.591,0.765,8.770
-5.709,0.343,6.396
-5.709,1.069,8.270
-6.583,-0.912,6.396
-6.661,-0.029,6.965
-6.936,0.265,7.358
-8.849,-1.413,5.670
-11.380,-0.530,8.927
-8.162,-1.069,9.074
-6.661,-0.647,6.053
-8.191,0.108,3.365
-8.348,-1.030,2.982
-8.996,0.491,2.374
-8.505,-0.069,3.826
-9.153,1.834,2.639
-5.209,1.570,2.717
-9.810,0.265,5.052
-10.222,-0.608,3.944
-10.340,0.226,2.796
-9.996,0.873,2.256
-10.536,0.491,1.609
-10.075,0.383,1.952
-10.036,0.451,1.991
-9.957,0.383,1.913
-10.193,0.530,2.717
-9.732,0.687,2.178
-10.193,0.186,1.295
-10.261,0.226,1.295
-10.300,0.069,0.451
-10.340,0.147,-0.029
-10.075,0.000,0.412
-10.379,0.108,0.069
-10.261,0.000,-0.186
-10.222,-0.108,0.108
-10.114,0.186,-0.304
-10.379,-0.069,0.726
-10.153,0.029,0.108
-10.222,0.108,0.912
-10.340,0.029,0.265
-10.300,0.069,0.265
-10.379,0.000,0.343
-10.193,0.069,0.412
-10.222,0.108,0.265
-10.300,0.029,0.304
-10.114,0.108,0.147
-10.379,0.000,0.412
-10.261,0.029,0.304
-10.261,0.108,0.343
-10.222,0.069,0.226
-10.300,0.069,0.304
-10.222,0.029,0.147
-10.261,0.108,0.412
-10.340,0.069,0.147
-10.222,0.069,0.343
-10.261,0.108,0.304
-10.300,0.069,0.147
-10.261,0.069,0.304
-10.261,0.029,0.147
-10.261,0.069,0.186
-10.222,0.069,0.186
-10.222,0.069,0.265
-10.261,0.069,0.186
-10.261,0.069,0.343
-10.300,0.069,0.108
-10.261,0.108,0.186
-10.261,0.108,0.265
-10.261,-0.069,0.069
-10.261,0.108,0.304
-10.261,0.069,0.108
-10.261,0.029,0.108
-10.261,0.108,0.147
-10.300,0.147,0.069
-10.340,0.186,0.186
-10.261,0.108,0.029
-10.261,0.069,0.029
-10.261,0.029,0.000
-10.222,0.069,0.029
-10.300,0.108,-0.029
-10.261,0.147,0.029
-10.261,0.147,-0.069
-10.261,0.186,0.000
-10.261,0.186,0.000
